Mean_Temperature_F,Mean_Temperature_F
62,62
59,59
58,58
61,61
60,60
64,64
64,64
60,60
58,58
58,58
55,55
56,56
58,58
52,52
54,54
56,56
59,59
58,58
54,54
52,52
51,51
58,58
58,58
57,57
60,60
52,52
48,48
52,52
48,48
42,42
39,39
40,40
38,38
38,38
39,39
41,41
39,39
44,44
49,49
52,52
48,48
50,50
47,47
56,56
59,59
58,58
48,48
35,35
33,33
34,34
35,35
40,40
44,44
50,50
52,52
49,49
55,55
57,57
61,61
55,55
52,52
46,46
47,47
48,48
48,48
48,48
48,48
50,50
52,52
55,55
48,48
48,48
44,44
42,42
42,42
47,47
44,44
42,42
34,34
34,34
35,35
38,38
38,38
48,48
56,56
50,50
47,47
44,44
44,44
46,46
48,48
49,49
44,44
42,42
41,41
50,50
46,46
54,54
49,49
46,46
40,40
48,48
54,54
58,58
57,57
55,55
52,52
50,50
48,48
44,44
42,42
48,48
50,50
48,48
47,47
54,54
56,56
54,54
54,54
52,52
52,52
51,51
62,62
54,54
54,54
48,48
53,53
52,52
48,48
51,51
52,52
50,50
45,45
44,44
45,45
49,49
51,51
51,51
47,47
44,44
49,49
42,42
44,44
48,48
49,49
50,50
50,50
49,49
50,50
56,56
60,60
59,59
58,58
50,50
52,52
51,51
54,54
56,56
56,56
55,55
49,49
48,48
52,52
54,54
62,62
59,59
58,58
57,57
60,60
50,50
50,50
50,50
49,49
48,48
50,50
52,52
54,54
54,54
54,54
54,54
50,50
52,52
48,48
47,47
49,49
52,52
56,56
57,57
58,58
60,60
56,56
52,52
50,50
52,52
52,52
52,52
66,66
56,56
56,56
57,57
59,59
58,58
57,57
55,55
54,54
56,56
58,58
62,62
66,66
62,62
56,56
58,58
54,54
60,60
60,60
58,58
62,62
66,66
65,65
64,64
68,68
60,60
59,59
60,60
58,58
64,64
67,67
70,70
71,71
63,63
65,65
60,60
60,60
62,62
65,65
68,68
72,72
74,74
73,73
72,72
68,68
66,66
64,64
64,64
69,69
72,72
64,64
67,67
70,70
66,66
66,66
70,70
67,67
68,68
72,72
76,76
76,76
78,78
76,76
78,78
75,75
76,76
80,80
80,80
77,77
78,78
74,74
70,70
74,74
73,73
68,68
68,68
72,72
72,72
72,72
72,72
72,72
71,71
78,78
83,83
74,74
68,68
68,68
71,71
67,67
66,66
66,66
65,65
72,72
75,75
78,78
80,80
77,77
77,77
76,76
70,70
65,65
70,70
72,72
70,70
72,72
75,75
76,76
75,75
74,74
65,65
66,66
68,68
70,70
74,74
78,78
68,68
66,66
68,68
70,70
66,66
68,68
71,71
74,74
70,70
66,66
65,65
66,66
64,64
63,63
60,60
60,60
58,58
58,58
66,66
67,67
69,69
68,68
72,72
71,71
66,66
58,58
59,59
60,60
62,62
64,64
66,66
66,66
60,60
57,57
60,60
64,64
61,61
60,60
55,55
61,61
62,62
60,60
60,60
58,58
62,62
62,62
62,62
60,60
60,60
64,64
62,62
66,66
60,60
61,61
