Date,temp,dew_point,humidity,sea_level_pressure_in,visibility_miles,wind_speed,precipitation_in,season,count,weather
11/11/2014,42,18,42,30.28,10,5,0,3,270,多云~晴
11/12/2014,39,4,24,30.25,10,8,0,3,296,晴
11/13/2014,40,9,30,30.01,10,4,0,3,318,晴
11/14/2014,38,18,48,30.15,10,2,0,3,267,多云
11/15/2014,38,18,51,30.46,10,1,0,3,245,晴
11/16/2014,39,21,53,30.45,10,1,0,3,189,晴
11/17/2014,41,25,60,30.31,10,1,0,3,279,晴
11/18/2014,39,31,75,30.13,8,1,0,3,293,多云~晴
11/19/2014,44,34,66,29.93,9,2,0,3,341,多云
11/20/2014,49,43,80,29.96,10,4,0.11,3,234,小雨~中雨
11/21/2014,52,45,79,29.58,8,7,0.67,3,159,小雨~多云
11/22/2014,48,41,77,29.88,10,8,0.03,3,240,中雨
11/23/2014,50,42,74,30.18,10,10,0.42,3,207,小雨
11/24/2014,47,41,79,30.23,8,6,0.01,3,217,中雨~阴
11/25/2014,56,50,83,30.17,6,6,0.33,3,174,小雨~中雨
11/26/2014,59,52,75,30.04,10,11,0.01,3,290,中雨~小雨
11/27/2014,58,49,70,29.81,10,12,0.04,3,122,小雨
11/28/2014,48,43,80,29.54,7,9,1.39,3,62,中雨~小雨
11/29/2014,35,25,67,29.84,9,6,0.06,3,63,中雨~雨夹雪
11/30/2014,33,21,64,30.19,10,2,0,3,111,阵雪~晴
12/1/2014,34,21,62,30.17,10,1,0,3,205,多云~晴
12/2/2014,35,26,68,30.12,10,3,0,3,221,晴
12/3/2014,40,27,58,29.82,10,1,0,3,252,晴
12/4/2014,44,37,74,29.86,9,2,0.05,3,227,多云~小雨
12/5/2014,50,44,82,29.91,9,2,0.09,3,209,中雨~小雨
12/6/2014,52,46,82,30.06,9,7,0.25,3,149,中雨~小雨
12/7/2014,49,43,80,30.12,8,0,0,3,174,小雨
12/8/2014,55,44,70,29.96,10,3,0.45,3,205,多云~小雨
12/9/2014,57,50,76,29.81,9,8,0.42,3,236,小雨~中雨
12/10/2014,61,48,69,29.46,10,10,0.5,3,171,中雨
12/11/2014,55,43,69,29.31,10,8,0.33,3,185,中雨~小雨
12/12/2014,52,43,73,29.83,10,10,0,3,249,中雨~小雨
12/13/2014,46,41,82,30.2,8,3,0.01,3,208,小雨~多云
12/14/2014,47,34,70,30.12,7,2,0,3,184,多云
12/15/2014,48,28,41,29.9,10,6,0,3,238,晴
12/16/2014,48,33,53,29.84,10,5,0,3,246,小雨
12/17/2014,48,41,77,29.86,9,1,0.16,3,191,小雨~多云
12/18/2014,48,43,83,29.86,8,4,0.6,3,165,小雨
12/19/2014,50,41,70,29.9,10,8,0.13,3,300,小雨~中雨
12/20/2014,52,46,83,29.58,7,7,0.6,3,78,小雨~中雨
12/21/2014,55,46,72,29.91,10,7,0,3,141,中雨
12/22/2014,48,40,72,30.31,10,1,0,4,259,小雨
12/23/2014,48,42,80,30.17,7,5,0.61,4,127,多云~阴
12/24/2014,44,38,80,29.98,10,5,0.12,4,129,中雨
12/25/2014,42,37,79,30.2,10,3,0,4,149,小雨~多云
12/26/2014,42,36,80,30.36,9,4,0,4,195,多云
12/27/2014,47,40,78,30.13,9,8,0.12,4,119,多云~小雨
12/28/2014,44,38,79,30.17,10,5,0.06,4,133,中雨~小雨
12/29/2014,42,28,62,30.43,10,3,0,4,176,小雨~雨夹雪
12/30/2014,34,17,51,30.81,10,1,0,4,174,晴
12/31/2014,34,22,60,30.58,10,2,0,4,136,晴
1/1/2015,35,25,70,30.31,10,0,0,4,164,晴
1/2/2015,38,32,76,30.16,10,4,0.03,4,136,晴
1/3/2015,38,35,84,30.26,7,2,0,4,151,小雨~多云
1/4/2015,48,41,84,30.14,8,7,0.22,4,51,阴~小雨
1/5/2015,56,50,81,30.18,8,14,0.07,4,180,中雨
1/6/2015,50,46,84,30.29,7,2,0.01,4,287,中雨~阴
1/7/2015,47,43,85,30.28,5,2,0,4,315,阴~多云
1/8/2015,44,38,82,30.17,6,3,0,4,333,晴
1/9/2015,44,39,86,30.09,4,2,0.01,4,298,多云~雾
1/10/2015,46,44,88,30.03,3,1,0.18,4,133,多云~小雨
1/11/2015,48,45,85,30.14,5,1,0.06,4,101,小雨
1/12/2015,49,41,78,30.35,10,1,0,4,281,小雨~多云
1/13/2015,44,38,80,30.43,9,2,0,4,296,多云
1/14/2015,42,34,77,30.24,7,3,0,4,280,多云~晴
1/15/2015,41,34,73,30.03,9,3,0.43,4,206,晴~小雨
1/16/2015,50,40,71,30.08,10,8,0,4,309,中雨
1/17/2015,46,41,84,29.89,6,1,0.76,4,131,多云
1/18/2015,54,44,73,30.04,9,14,0.23,4,88,中雨
1/19/2015,49,42,76,30.39,10,5,0.03,4,273,中雨~小雨
1/20/2015,46,38,76,30.41,10,1,0,4,320,阴
1/21/2015,40,35,81,30.29,6,1,0,4,300,多云
