Date,temp,weather,weekday,season,count
2014/11/1,52,0,6,3,438
2014/11/2,51,1,7,3,331
2014/11/3,58,1,1,3,237
2014/11/4,58,1,2,3,385
2014/11/5,57,1,3,3,296
2014/11/6,60,1,4,3,256
2014/11/7,52,0,5,3,345
2014/11/8,48,0,6,3,529
2014/11/9,52,1,7,3,237
2014/11/10,48,0,1,3,392
2014/11/11,42,0,2,3,270
2014/11/12,39,0,3,3,296
2014/11/13,40,0,4,3,318
2014/11/14,38,0,5,3,267
2014/11/15,38,0,6,3,245
2014/12/1,34,0,1,3,205
2014/12/2,35,0,2,3,221
2014/12/3,40,0,3,3,252
2014/12/4,44,1,4,3,227
2014/12/5,50,1,5,3,209
2014/12/6,52,1,6,3,149
2014/12/7,49,3,7,3,174
2014/12/8,55,1,1,3,205
2014/12/9,57,1,2,3,236
2014/12/10,61,1,3,3,171
2014/12/11,55,1,4,3,185
2014/12/12,52,0,5,3,249
2014/12/13,46,0,6,3,208
2014/12/14,47,3,7,3,184
2014/12/15,48,0,1,3,238
2015/1/1,35,0,4,4,164
2015/1/2,38,0,5,4,136
2015/1/3,38,1,6,4,151
2015/1/4,48,1,7,4,51
2015/1/5,56,1,1,4,180
2015/1/6,50,3,2,4,287
2015/1/7,47,0,3,4,315
2015/1/8,44,3,4,4,333
2015/1/9,44,31,5,4,298
2015/1/10,46,1,6,4,133
2015/1/11,48,31,7,4,101
2015/1/12,49,1,1,4,281
2015/1/13,44,0,2,4,296
2015/1/14,42,0,3,4,280
2015/1/15,41,1,4,4,206
2015/2/1,48,1,7,4,126
2015/2/2,50,1,1,4,182
2015/2/3,48,31,2,4,242
2015/2/4,47,31,3,4,212
2015/2/5,54,1,4,4,172
2015/2/6,56,1,5,4,186
2015/2/7,54,1,6,4,122
2015/2/8,54,1,7,4,179
2015/2/9,52,1,1,4,252
2015/2/10,52,1,2,4,287
2015/2/11,51,0,3,4,306
2015/2/12,62,1,4,4,325
2015/2/13,54,1,5,4,384
2015/2/14,54,1,6,4,387
2015/3/1,44,0,7,4,246
2015/3/2,49,0,1,4,282
2015/3/3,42,0,2,4,296
2015/3/4,44,0,3,4,327
2015/3/5,48,0,4,4,282
2015/3/6,49,0,5,4,351
2015/3/7,50,1,6,4,462
2015/3/8,50,0,7,4,417
2015/3/9,49,0,1,4,319
2015/3/10,50,31,2,4,374
2015/3/11,56,1,3,4,310
2015/3/12,60,0,4,4,416
2015/3/13,59,1,5,4,364
2015/3/14,58,1,6,4,246
2015/3/15,50,1,7,4,34
2015/4/1,50,1,3,1,375
2015/4/2,50,1,4,1,365
2015/4/3,49,1,5,1,320
2015/4/4,48,0,6,1,416
2015/4/5,50,0,7,1,304
2015/4/6,52,1,1,1,349
2015/4/7,54,1,2,1,400
2015/4/8,54,0,3,1,419
2015/4/9,54,0,4,1,456
2015/4/10,54,1,5,1,391
2015/4/11,50,1,6,1,196
2015/4/12,52,0,7,1,255
2015/4/13,48,1,1,1,221
2015/4/14,47,1,2,1,321
2015/4/15,49,1,3,1,357
2015/5/1,59,0,5,1,450
2015/5/2,58,0,6,1,548
2015/5/3,57,0,7,1,472
2015/5/4,55,0,1,1,401
2015/5/5,54,1,2,1,306
2015/5/6,56,0,3,1,408
2015/5/7,58,0,4,1,556
2015/5/8,62,0,5,1,650
2015/5/9,66,0,6,1,793
2015/5/10,62,0,7,1,440
2015/5/11,56,1,1,1,445
2015/5/12,58,1,2,1,418
2015/5/13,54,1,3,1,318
2015/5/14,60,0,4,1,483
2015/5/15,60,0,5,1,548
2015/6/1,60,1,1,1,323
2015/6/2,60,0,2,1,460
2015/6/3,62,0,3,1,460
2015/6/4,65,0,4,1,564
2015/6/5,68,0,5,1,599
2015/6/6,72,0,6,1,518
2015/6/7,74,0,7,1,474
2015/6/8,73,0,1,1,567
2015/6/9,72,0,2,1,564
2015/6/10,68,0,3,1,521
2015/6/11,66,0,4,1,611
2015/6/12,64,0,5,1,559
2015/6/13,64,0,6,1,716
2015/6/14,69,0,7,1,507
2015/6/15,72,0,1,1,606
2015/7/1,76,0,3,2,531
2015/7/2,80,0,4,2,606
2015/7/3,80,0,5,2,630
2015/7/4,77,0,6,2,759
2015/7/5,78,0,7,2,545
2015/7/6,74,0,1,2,646
2015/7/7,70,0,2,2,581
2015/7/8,74,0,3,2,651
2015/7/9,73,0,4,2,660
2015/7/10,68,0,5,2,648
2015/7/11,68,0,6,2,524
2015/7/12,72,0,7,2,550
2015/7/13,72,0,1,2,681
2015/7/14,72,0,2,2,642
2015/7/15,72,0,3,2,663
2015/8/1,77,0,6,2,674
2015/8/2,77,0,7,2,495
2015/8/3,76,0,1,2,636
2015/8/4,70,0,2,2,613
2015/8/5,65,0,3,2,621
2015/8/6,70,0,4,2,635
2015/8/7,72,0,5,2,640
2015/8/8,70,0,6,2,566
2015/8/9,72,0,7,2,600
2015/8/10,75,1,1,2,588
2015/8/11,76,0,2,2,597
2015/8/12,75,14,3,2,604
2015/8/13,74,0,4,2,632
2015/8/14,65,14,5,2,347
2015/8/15,66,0,6,2,550
2015/9/1,64,1,2,2,318
2015/9/2,63,1,3,2,447
2015/9/3,60,0,4,2,513
2015/9/4,60,0,5,2,439
2015/9/5,58,1,6,2,302
2015/9/6,58,1,7,2,344
2015/9/7,66,0,1,2,458
2015/9/8,67,0,2,2,409
2015/9/9,69,0,3,2,575
2015/9/10,68,0,4,2,527
2015/9/11,72,0,5,2,634
2015/9/12,71,0,6,2,514
2015/9/13,66,1,7,2,261
2015/9/14,58,0,1,2,421
2015/9/15,59,0,2,2,436
